VARIABLE_NUEVA	VARIABLE_ORIGINAL	DESCRIPCION
prg04	Q017P002SQ004	Uso de App Inventor
prg05	Q017P002SQ005	Uso de Snap
prg06	Q017P002SQ006	Uso de Python
prg07	Q017P002SQ007	Uso de JavaScript
prg08	Q017P002SQ008	Uso de CSS
prg09	Q017P002SQ009	Uso de HTML
prg10	Q017P002SQ010	Uso de C o C++
cib01	Q018SQ001	Compartir fotos/memes para ridiculizar
cib02	Q018SQ002	Mensajes ofensivos en redes sociales
cib03	Q018SQ003	Mensajes ofensivos por correo/chat
cib04	Q018SQ004	Copiar trabajos desde internet
cib05	Q018SQ005	Uso de celular para copiar en pruebas
cib06	Q018SQ006	Amenazas a través de internet
ciu01	Q019SQ001	Formación en administración datos/privacidad
ciu02	Q019SQ002	Formación en ciberbullying/convivencia
ciu03	Q019SQ003	Formación en uso responsable de información
ciu04	Q019SQ004	Formación en identificar fake news
hab01	Q020SQ001	Habilidad para crear/editar documentos
hab02	Q020SQ002	Habilidad para enviar archivos por correo
hab03	Q020SQ003	Habilidad para crear planillas con fórmulas
hab04	Q020SQ004	Habilidad para crear presentaciones
hab05	Q020SQ005	Habilidad para crear/editar videos
hab06	Q020SQ006	Habilidad para subir contenido a sitios
hab07	Q020SQ007	Habilidad para buscar información escolar
hab08	Q020SQ008	Habilidad para evaluar confiabilidad información
hab09	Q020SQ009	Habilidad para editar documentos compartidos
hab10	Q020SQ010	Habilidad para coordinar trabajos online
hab11	Q020SQ011	Habilidad para programar
att01	Q021SQ001	Búsqueda de nuevos usos de PC/internet
att02	Q021SQ002	Autoaprendizaje en computación
att03	Q021SQ003	Preferencia por tareas en computador
att04	Q021SQ004	Mayor aprendizaje con tecnologías
att05	Q021SQ005	Búsqueda de nuevos programas/apps
att06	Q021SQ006	Autopercepción como solucionador problemas técnicos
att07	Q021SQ007	Percepción conocimiento estudiantes vs profesores
int01	Q022SQ001	Interés en ilustración digital/fotografía
int02	Q022SQ002	Interés en producción audiovisual
int03	Q022SQ003	Interés en animación/videojuegos
int04	Q022SQ004	Interés en diseño web
int05	Q022SQ005	Interés en producción musical digital
int06	Q022SQ006	Interés en robótica
int07	Q022SQ007	Interés en análisis científico
int08	Q022SQ008	Interés en astronomía/astrofísica
int09	Q022SQ009	Interés en inteligencia artificial
val01	Q023SQ001	Tecnología ayuda a aprender más
val02	Q023SQ002	Tecnología ayuda a mejorar notas
val03	Q023SQ003	Redes sociales no distraen de tareas
val04	Q023SQ004	Tecnología mejora trabajo con compañeros
val05	Q023SQ005	Tareas más entretenidas con dispositivos
val06	Q023SQ006	Tecnología motiva aprendizaje
val07	Q023SQ007	Tecnología útil para futuro laboral
val08	Q023SQ008	Tecnología facilita entender contenido
wgt	WGT_EST_FINAL	Factor de expansión
ift	IND_ACCNES_FORM_TD	Indicador formación en tecnologías digitales
ifc	IND_FREC_FORM_CD	Indicador frecuencia formación ciudadanía digital
ifa	IND_FREC_ACTS_TD	Indicador frecuencia actividades tecnológicas
ifui	IND_FREC_USO_INT	Indicador frecuencia uso internet escolar
ifud	IND_FREC_USO_DD	Indicador frecuencia uso dispositivos en asignaturas
ihd1	IND_AUTP_HAB_DIG1	Indicador autopercepción habilidades digitales generales
ihd2	IND_AUTP_HAB_DIG2	Indicador autopercepción habilidades digitales avanzadas
imt1	IND_NIVEL_MOT_TIC1	Indicador motivación TIC (creación contenido)
imt2	IND_NIVEL_MOT_TIC2	Indicador motivación TIC (aplicaciones científicas)
ivte	IND_VAL_TD_EST	Indicador valoración tecnologías digitales
iafp	IND_AUTP_FORM_PENSAR	Indicador autopercepción forma de pensar
ippe	IND_PERC_PROT_EST	Indicador percepción protagonismo estudiantes
ifaa	IND_FREC_APR_ACT	Indicador frecuencia aprendizaje activo
iaac	IND_AUTP_APR_CLASES	Indicador autopercepción aprendizaje en clases
ipitd	IND_PERC_IMP_TD	Indicador percepción impacto tecnologías digitales
